DATE,GPDIC1
2009-10-01,2040.736
2010-01-01,2087.171
2010-04-01,2196.706
2010-07-01,2294.672
2010-10-01,2287.362
2011-01-01,2244.241
2011-04-01,2336.057
2011-07-01,2343.786
2011-10-01,2524.429
2012-01-01,2577.157
2012-04-01,2636.495
2012-07-01,2648.459
2012-10-01,2624.905
2013-01-01,2722.778
2013-04-01,2753.237
2013-07-01,2859.751
2013-10-01,2870.127
2014-01-01,2838.287
2014-04-01,2958.068
2014-07-01,3018.582
2014-10-01,3021.857
2015-01-01,3116.465
2015-04-01,3118.907
2015-07-01,3114.774
2015-10-01,3067.068
2016-01-01,3054.711
2016-04-01,3041.633
2016-07-01,3045.541
2016-10-01,3113.961
2017-01-01,3140.293
2017-04-01,3167.926
2017-07-01,3225.247
2017-10-01,3262.117
2018-01-01,3311.826
2018-04-01,3296.571
2018-07-01,3404.226
2018-10-01,3429.477
2019-01-01,3481.088
2019-04-01,3424.653
2019-07-01,3416.18
2019-10-01,3363.567
